time,type,mark
2971.3523522918977,1,1.0
2974.9730478472434,0,5.0
2990.6938141257447,0,2.0
2991.4104494033686,0,1.0
2998.304259903978,1,2.0
2998.3431071058258,0,5.0
2998.34756219618,1,1.0
3023.000615603598,0,3.0
3037.9741910926477,0,1.0
3038.451465408782,1,4.0
3038.4587328857788,1,2.0
3038.460858720371,0,4.0
3040.336682984874,0,1.0
3071.708400952514,0,1.0
3072.0659131480247,1,1.0
3073.8302797263113,0,4.0
3079.186153714847,1,1.0
3082.081241860198,0,3.0
3097.722927565264,0,1.0
3105.907995075131,1,3.0
3107.037459448529,0,3.0
3109.255285760611,1,2.0
3122.252474462976,1,5.0
3122.3908870123605,0,1.0
3131.090104972743,0,1.0
3145.3833385458897,1,2.0
3148.383401402549,1,4.0
3148.4596499544655,1,2.0
3155.075826467277,1,1.0
3155.0807609318354,0,2.0
3165.6967088991246,1,1.0
3177.4324823925963,0,1.0
3183.5612828812104,0,2.0
3191.275098530203,1,5.0
3191.2784559881275,0,4.0
3191.2787554596757,1,2.0
3199.0972630915066,1,2.0
3201.1489088808603,0,2.0
3213.502724067641,1,3.0
3227.3660755700116,0,2.0
3236.722083152015,1,4.0
3236.7232504934177,1,3.0
3237.225589585288,0,3.0
3239.6876678656695,0,4.0
3252.9402739669076,0,2.0
3277.6562163113726,1,5.0
3277.6617724766347,0,5.0
3277.6671244060326,0,4.0
3277.6681539866663,1,1.0
3304.089238323377,0,1.0
3315.5980928569866,1,5.0
3315.6085625429423,1,1.0
3327.233980482495,1,4.0
3344.5320435172735,1,1.0
3346.3008654542055,1,5.0
3346.4082437103093,1,3.0
3356.8216764899908,0,4.0
3369.6603438902407,1,1.0
3383.345644676629,0,5.0
3383.4660358659203,0,5.0
3383.468070274753,1,3.0
3383.469389326603,0,1.0
3399.8200134019207,0,3.0
3408.665169143206,0,1.0
3432.1573186961523,1,4.0
3437.6587803008165,0,2.0
3438.155154695708,1,2.0
3443.371666005092,1,2.0
3444.4952675012137,0,2.0
3448.4433413301513,0,3.0
3448.443361902051,0,5.0
3463.4955291357523,0,2.0
3477.974593717062,1,5.0
3477.9777920409083,1,3.0
3480.6983030530405,1,3.0
3484.031563758295,0,3.0
3484.03338693929,0,2.0
3484.0862434477,1,3.0
3485.2339965870538,1,5.0
3486.830226833272,0,1.0
3490.520835038202,0,4.0
3491.0073538873753,0,4.0
3491.2383114470126,0,3.0
3495.20720444017,0,4.0
3509.4695993102364,1,2.0
3518.02807615785,1,1.0
3530.846934244421,1,3.0
3535.1233336507817,1,2.0
3551.108569731484,1,2.0
3551.272465751063,0,4.0
3553.4372022871507,1,3.0
3554.142119282319,1,5.0
3601.3523367386097,0,3.0
3607.307912768871,1,4.0
3607.968084988651,0,5.0
3609.8089205422366,0,1.0
3609.8212578308467,0,2.0
3622.132019356745,1,2.0
3623.5582081101584,1,1.0
3631.776174613894,0,3.0
3644.996818394643,1,4.0
3646.634171575813,1,3.0
3666.841937436894,1,2.0
3676.5437152088543,0,3.0
3678.0199914941554,0,4.0
3688.822122500671,0,5.0
3688.8221381682106,0,1.0
3709.5153947373915,1,3.0
3715.3882232095966,0,3.0
3729.6372700676516,1,4.0
3737.6034940643494,1,5.0
3741.3123234475306,1,2.0
3757.0940858920385,0,3.0
3758.5216714311746,0,5.0
3758.6620940837024,1,1.0
3773.9599001968077,1,2.0
3777.02999320226,0,5.0
3783.410172587325,0,1.0
3812.186707425827,0,1.0
3844.222989067951,0,1.0
3844.9055157624894,0,3.0
3847.7998754379164,0,5.0
3870.5017107036147,0,3.0
3870.5035664342763,1,2.0
3877.4976007010173,1,2.0
3881.292231871406,1,4.0
3885.50993753108,0,4.0
3899.0009547961977,1,4.0
3910.1516197418655,1,1.0
3923.44255871945,0,2.0
3927.9846566620536,0,5.0
3928.5706967821698,0,5.0
3933.376538796721,1,3.0
3935.710540603148,0,3.0
3936.604121664645,0,1.0
3948.8799515720193,1,3.0
3966.911636169682,0,2.0
3975.6014723980416,1,5.0
3976.763609203629,1,2.0
3982.2923525433907,1,2.0
3990.2192801686724,0,1.0
3992.2965094510932,1,4.0
3994.4542273820857,0,3.0
4007.1568961738776,1,1.0
4052.8312971091177,1,2.0
4062.7953611283474,1,1.0
4092.8047967895463,0,4.0
4092.805312603087,0,3.0
4094.251942469967,0,4.0
4109.116967554339,0,3.0
4115.423679171761,0,3.0
4116.022439682418,0,3.0
4123.508070612139,1,1.0
4128.326626427556,0,3.0
4131.163890885674,0,2.0
4137.184586369509,0,4.0
4138.825211953048,1,5.0
4142.758640981738,1,3.0
4154.055649288271,0,4.0
4154.131935887032,1,4.0
4163.933470365225,0,1.0
4168.818904523683,0,1.0
4172.773414080296,1,3.0
4172.780220865555,0,2.0
4182.724654132785,1,3.0
4182.724756878467,1,5.0
4182.841567746196,0,4.0
4182.842727636652,1,2.0
4182.851068784488,1,5.0
4182.866866089613,0,5.0
4182.872506023763,1,1.0
4187.420522241265,0,4.0
4188.59773046806,1,4.0
4192.892578300889,0,4.0
4196.0071432360855,1,3.0
4223.815358004316,0,5.0
4226.052638900783,0,4.0
4226.667392052904,0,5.0
4227.747590033268,1,3.0
4228.382558493625,0,2.0
4233.663767948891,0,2.0
4233.670128898747,0,5.0
4233.670994403878,1,5.0
4233.836175125858,0,1.0
4236.416537978922,0,5.0
4236.421557178911,1,3.0
4237.348965304317,0,5.0
4237.5945949259085,1,5.0
4237.615205919703,1,5.0
4244.711747265896,1,4.0
4248.9873070094445,0,2.0
4251.313103732598,1,4.0
4271.966477239527,1,3.0
4278.51027709568,0,5.0
4286.431209954698,1,4.0
4288.374119346759,1,3.0
4288.393390041668,1,5.0
4289.4222713446,1,2.0
4299.53966228666,1,1.0
4305.000140445506,0,3.0
4315.387995385345,1,4.0
4328.179805706739,1,1.0
4329.843610555326,1,3.0
4332.103737862539,0,3.0
4347.923167559527,1,4.0
4355.429141089549,0,4.0
4359.7852557265605,0,3.0
4364.398250324413,1,1.0
4364.490107631222,0,1.0
4367.1028074515025,0,5.0
4367.127292595302,0,3.0
4374.810223670992,0,3.0
4380.632660327502,0,3.0
4380.6337550282515,1,4.0
4380.636132469162,0,1.0
4380.656889800087,1,4.0
4386.072751176745,1,5.0
4396.771048001251,0,5.0
4396.774753047695,0,2.0
4411.605053087212,1,1.0
4413.990550205334,1,3.0
4418.533935142979,0,3.0
4420.835082872365,0,5.0
4420.835509530698,1,2.0
4420.836169570045,1,2.0
4420.932514826888,1,1.0
4431.902418693291,1,2.0
4448.763289169567,1,1.0
4461.332030528209,0,3.0
4489.522172945325,1,2.0
4489.759631774543,1,1.0
4499.117541169253,0,1.0
4515.2928066281775,0,2.0
4537.839914198073,1,4.0
4537.84047792311,0,3.0
4546.654477809379,0,5.0
4550.252128302664,0,3.0
4550.252349734381,0,1.0
4557.612300631022,1,5.0
4565.036188696232,0,3.0
4574.445725895588,0,2.0
4586.665362909779,1,4.0
4588.32201317778,1,3.0
4590.448612672994,0,4.0
4599.26271693212,1,5.0
4613.665677192404,0,4.0
4627.373646626245,0,1.0
4631.443100820154,0,4.0
4635.016245766086,1,3.0
4637.158334501102,0,2.0
4651.78274740614,1,3.0
4660.146319919764,1,3.0
4660.160004610496,0,2.0
4660.1985144314785,0,3.0
4668.928604681291,0,1.0
4699.3630127076,0,4.0
4700.964929369614,0,1.0
4703.3591453711315,0,5.0
4711.3804737310065,0,1.0
4731.883413564478,0,4.0
4746.331431395292,1,3.0
4751.490543712593,0,4.0
4751.490955792979,1,3.0
4757.483666860003,0,3.0
4762.469837387003,1,2.0
4772.322311955408,0,3.0
4775.811246032432,0,1.0
4778.113066511229,1,4.0
4779.891529340145,1,2.0
4784.742705971471,1,5.0
4793.818848290205,1,2.0
4793.915765163329,1,4.0
4797.718551591665,1,5.0
4806.1660034684455,0,4.0
4806.387635783758,0,2.0
4812.515927372029,0,2.0
4813.977043319736,1,5.0
4813.98318685574,0,3.0
4817.922965153539,0,2.0
